insert into attendance_detail values(1294, 1248, '10:55', '17:56');
insert into attendance_detail values(1347, 1301, '09:06', '17:55');
insert into attendance_detail values(1348, 1302, '09:49', '17:52');
insert into attendance_detail values(1349, 1303, '09:09', '17:53');
insert into attendance_detail values(1350, 1304, '10:54', '17:53');
insert into attendance_detail values(1351, 1305, '09:04', '17:53');
insert into attendance_detail values(1352, 1306, '09:16', '14:20');
insert into attendance_detail values(1353, 1306, '15:34', '17:54');
insert into attendance_detail values(1354, 1307, '09:02', '17:51');
insert into attendance_detail values(1355, 1308, '09:00', '17:53');
insert into attendance_detail values(1356, 1309, '09:04', '17:53');
insert into attendance_detail values(1357, 1310, '09:04', '17:51');
insert into attendance_detail values(1358, 1311, '09:10', '10:12');
insert into attendance_detail values(1359, 1311, '11:53', '17:57');
insert into attendance_detail values(1360, 1312, '09:01', '17:59');
insert into attendance_detail values(1361, 1313, '09:07', '17:50');
insert into attendance_detail values(1362, 1314, '09:08', '17:50');
insert into attendance_detail values(1363, 1315, '09:05', '17:50');
insert into attendance_detail values(1364, 1316, '09:01', '17:54');
insert into attendance_detail values(1365, 1317, '09:02', '17:54');
insert into attendance_detail values(1366, 1318, '09:05', '17:59');
insert into attendance_detail values(1367, 1319, '09:06', '17:54');
insert into attendance_detail values(1368, 1320, '09:07', '17:59');
insert into attendance_detail values(1369, 1321, '09:03', '17:51');
insert into attendance_detail values(1370, 1322, '09:09', '17:56');
insert into attendance_detail values(1371, 1323, '09:07', '17:50');
insert into attendance_detail values(1372, 1324, '09:10', '17:56');
insert into attendance_detail values(1373, 1325, '09:05', '17:50');
insert into attendance_detail values(1374, 1326, '09:02', '17:59');
insert into attendance_detail values(1375, 1327, '09:04', '17:56');
insert into attendance_detail values(1376, 1328, '09:10', '17:55');
insert into attendance_detail values(1377, 1329, '09:01', '17:50');
insert into attendance_detail values(1378, 1330, '09:10', '17:59');
insert into attendance_detail values(1379, 1331, '09:03', '17:55');
insert into attendance_detail values(1380, 1332, '09:04', '17:58');
insert into attendance_detail values(1381, 1333, '09:54', '17:51');
insert into attendance_detail values(1382, 1334, '09:06', '17:56');
insert into attendance_detail values(1383, 1335, '09:09', '17:55');
insert into attendance_detail values(1384, 1336, '09:02', '17:59');
insert into attendance_detail values(1385, 1337, '09:08', '17:53');
insert into attendance_detail values(1386, 1338, '09:08', '17:56');
insert into attendance_detail values(1387, 1339, '09:02', '17:57');
insert into attendance_detail values(1388, 1340, '10:14', '17:50');
insert into attendance_detail values(1389, 1341, '09:09', '17:52');
insert into attendance_detail values(1390, 1342, '09:08', '14:05');
insert into attendance_detail values(1391, 1342, '15:46', '17:52');
insert into attendance_detail values(1392, 1343, '09:08', '17:52');
insert into attendance_detail values(1393, 1344, '09:03', '17:53');
insert into attendance_detail values(1394, 1345, '09:00', '17:55');
insert into attendance_detail values(1395, 1346, '09:04', '17:59');
insert into attendance_detail values(1396, 1347, '09:00', '17:55');
insert into attendance_detail values(1397, 1348, '09:00', '17:58');
insert into attendance_detail values(1398, 1349, '09:10', '17:59');
insert into attendance_detail values(1399, 1350, '10:52', '10:08');
insert into attendance_detail values(1400, 1351, '09:09', '17:55');
insert into attendance_detail values(1401, 1352, '09:09', '17:51');
insert into attendance_detail values(1402, 1353, '09:02', '17:51');
insert into attendance_detail values(1403, 1354, '09:05', '14:17');
insert into attendance_detail values(1404, 1354, '15:30', '17:51');
insert into attendance_detail values(1405, 1355, '09:06', '17:50');
insert into attendance_detail values(1406, 1356, '09:01', '17:52');
insert into attendance_detail values(1407, 1357, '09:41', '17:59');
insert into attendance_detail values(1408, 1358, '09:06', '17:50');
insert into attendance_detail values(1409, 1359, '09:02', '17:57');
insert into attendance_detail values(1410, 1360, '09:10', '17:50');
insert into attendance_detail values(1411, 1361, '09:09', '17:54');
insert into attendance_detail values(1412, 1362, '09:06', '17:51');
insert into attendance_detail values(1413, 1363, '09:00', '17:56');
insert into attendance_detail values(1414, 1364, '09:01', '17:50');
insert into attendance_detail values(1415, 1365, '09:04', '17:59');
insert into attendance_detail values(1416, 1366, '09:03', '17:54');
insert into attendance_detail values(1417, 1367, '09:02', '17:55');
insert into attendance_detail values(1418, 1368, '09:07', '17:59');
insert into attendance_detail values(1419, 1369, '09:01', '17:59');
insert into attendance_detail values(1420, 1370, '09:07', '17:54');
insert into attendance_detail values(1421, 1371, '09:02', '17:57');
insert into attendance_detail values(1422, 1372, '09:04', '17:56');
insert into attendance_detail values(1423, 1373, '09:10', '17:53');
insert into attendance_detail values(1424, 1374, '10:19', '17:53');
insert into attendance_detail values(1425, 1375, '09:03', '17:53');
insert into attendance_detail values(1426, 1376, '09:06', '17:57');
insert into attendance_detail values(1427, 1377, '09:49', '12:30');
insert into attendance_detail values(1428, 1377, '13:48', '17:59');
insert into attendance_detail values(1429, 1378, '09:10', '17:58');
insert into attendance_detail values(1430, 1379, '10:52', '12:43');
insert into attendance_detail values(1431, 1379, '13:32', '17:53');
insert into attendance_detail values(1432, 1380, '09:05', '17:51');
insert into attendance_detail values(1433, 1381, '09:07', '17:59');
insert into attendance_detail values(1434, 1382, '09:23', '17:52');
insert into attendance_detail values(1435, 1383, '09:04', '17:53');
insert into attendance_detail values(1436, 1384, '09:25', '15:44');
insert into attendance_detail values(1437, 1385, '09:06', '17:53');
insert into attendance_detail values(1438, 1386, '09:09', '17:51');
insert into attendance_detail values(1439, 1387, '09:08', '17:50');
insert into attendance_detail values(1440, 1388, '09:07', '17:58');
insert into attendance_detail values(1441, 1389, '10:15', '17:53');
insert into attendance_detail values(1442, 1390, '09:08', '17:57');
insert into attendance_detail values(1443, 1391, '09:04', '17:53');
insert into attendance_detail values(1444, 1392, '09:05', '17:50');
insert into attendance_detail values(1445, 1393, '09:04', '17:54');
insert into attendance_detail values(1446, 1394, '10:30', '14:36');
insert into attendance_detail values(1447, 1394, '15:49', '17:59');
insert into attendance_detail values(1448, 1395, '09:11', '17:56');
insert into attendance_detail values(1449, 1396, '09:09', '17:50');
insert into attendance_detail values(1450, 1397, '09:05', '14:23');
insert into attendance_detail values(1451, 1398, '10:46', '17:58');
insert into attendance_detail values(1452, 1399, '09:01', '17:53');
insert into attendance_detail values(1453, 1400, '09:00', '17:50');
insert into attendance_detail values(1454, 1401, '09:08', '17:50');
insert into attendance_detail values(1455, 1402, '09:07', '17:52');
insert into attendance_detail values(1456, 1403, '09:08', '17:59');
