개설 과정
[번호, 과정명번호, 과정시작일, 과정종료일, 과정기간(5.5/6/7), 강의실, 수강정원, 수강인원]
[1, 4, 2022-06-29, 2022-12-09, 5.5, 6, 26, 25]
[2, 14, 2022-08-01, 2023-01-11, 5.5, 5, 20, 20]
[3, 11, 2022-09-22, 2023-03-20, 6, 3, 30, 30]
[4, 6, 2022-10-29, 2023-04-10, 5.5, 4, 25, 19]
[5, 11, 2022-12-04, 2023-07-01, 5.5, 2, 28, 16]
[6, 11, 2023-01-16, 2023-06-28, 5.5, 6, 26, 26]
[7, 6, 2023-03-07, 2023-09-03, 6, 1, 27, 20]
[8, 8, 2023-05-03, 2023-10-13, 5.5, 5, 26, 15]
[9, 16, 2023-06-03, 2023-11-13, 5.5, 4, 26, 20]
[10, 18, 2023-07-27, 2024-02-23, 7, 3, 30, 22]
[11, 6, 2021-09-12, 2022-02-22, 5.5, 5, 26, 26]  -- 종료과정
[12, 13, 2022-03-15, 2022-08-14, 5.5, 1, 30, 29] --진행중과정

