INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(1, 1, 20, 20, 60);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(2, 2, 40, 30, 30);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(3, 3, 40, 40, 20);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(4, 4, 30, 20, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(5, 5, 40, 20, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(6, 6, 20, 20, 60);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(7, 7, 30, 40, 30);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(8, 8, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(9, 9, 30, 20, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(10, 10, 40, 40, 20);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(11, 11, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(12, 12, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(13, 13, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(14, 14, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(15, 15, 30, 30, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(16, 16, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(17, 17, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(18, 18, 20, 40, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(19, 19, 30, 30, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(20, 20, 40, 40, 20);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(21, 21, 40, 20, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(22, 22, 40, 20, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(23, 23, 30, 40, 30);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(24, 24, 30, 30, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(25, 25, 40, 20, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(26, 26, 30, 30, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(27, 27, 20, 40, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(28, 28, 40, 20, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(29, 29, 40, 20, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(30, 30, 30, 20, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(31, 31, 40, 30, 30);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(32, 32, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(33, 33, 40, 30, 30);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(34, 34, 40, 20, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(35, 35, 30, 40, 30);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(36, 36, 30, 20, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(37, 37, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(38, 38, 20, 40, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(39, 39, 30, 20, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(40, 40, 40, 40, 20);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(41, 41, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(42, 42, 30, 20, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(43, 43, 20, 40, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(44, 44, 40, 30, 30);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(45, 45, 30, 20, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(46, 46, 20, 20, 60);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(47, 47, 20, 40, 40);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(48, 48, 40, 40, 20);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(49, 49, 20, 30, 50);
INSERT INTO point(seq, open_subject_seq, attend_point, written_point, skill_point) VALUES(50, 50, 40, 40, 20);
