[출결번호, 교육생번호, 날짜]
[1, 1, 2021-09-12]
[2, 2, 2021-09-12]
[3, 3, 2021-09-12]
[4, 4, 2021-09-12]
[5, 5, 2021-09-12]
[6, 6, 2021-09-12]
[7, 7, 2021-09-12]
[8, 8, 2021-09-12]
[9, 9, 2021-09-12]
[10, 10, 2021-09-12]
[11, 11, 2021-09-12]
[12, 12, 2021-09-12]
[13, 13, 2021-09-12]
[14, 14, 2021-09-12]
[15, 15, 2021-09-12]
[16, 16, 2021-09-12]
[17, 17, 2021-09-12]
[18, 18, 2021-09-12]
[19, 19, 2021-09-12]
[20, 20, 2021-09-12]
[21, 21, 2021-09-12]
[22, 22, 2021-09-12]
[23, 23, 2021-09-12]
[24, 24, 2021-09-12]
[25, 25, 2021-09-12]
[26, 26, 2021-09-12]
[27, 1, 2021-09-13]
[28, 2, 2021-09-13]
[29, 3, 2021-09-13]
[30, 4, 2021-09-13]
[31, 5, 2021-09-13]
[32, 6, 2021-09-13]
[33, 7, 2021-09-13]
[34, 8, 2021-09-13]
[35, 9, 2021-09-13]
[36, 10, 2021-09-13]
[37, 11, 2021-09-13]
[38, 12, 2021-09-13]
[39, 13, 2021-09-13]
[40, 14, 2021-09-13]
[41, 15, 2021-09-13]
[42, 16, 2021-09-13]
[43, 17, 2021-09-13]
[44, 18, 2021-09-13]
[45, 19, 2021-09-13]
[46, 20, 2021-09-13]
[47, 21, 2021-09-13]
[48, 22, 2021-09-13]
[49, 23, 2021-09-13]
[50, 24, 2021-09-13]
[51, 25, 2021-09-13]
[52, 26, 2021-09-13]
[53, 1, 2021-09-14]
[54, 2, 2021-09-14]
[55, 3, 2021-09-14]
[56, 4, 2021-09-14]
[57, 5, 2021-09-14]
[58, 6, 2021-09-14]
[59, 7, 2021-09-14]
[60, 8, 2021-09-14]
[61, 9, 2021-09-14]
[62, 10, 2021-09-14]
[63, 11, 2021-09-14]
[64, 12, 2021-09-14]
[65, 13, 2021-09-14]
[66, 14, 2021-09-14]
[67, 15, 2021-09-14]
[68, 16, 2021-09-14]
[69, 17, 2021-09-14]
[70, 18, 2021-09-14]
[71, 19, 2021-09-14]
[72, 20, 2021-09-14]
[73, 21, 2021-09-14]
[74, 22, 2021-09-14]
[75, 23, 2021-09-14]
[76, 24, 2021-09-14]
[77, 25, 2021-09-14]
[78, 26, 2021-09-14]
[79, 1, 2021-09-15]
[80, 2, 2021-09-15]
[81, 3, 2021-09-15]
[82, 4, 2021-09-15]
[83, 5, 2021-09-15]
[84, 6, 2021-09-15]
[85, 7, 2021-09-15]
[86, 8, 2021-09-15]
[87, 9, 2021-09-15]
[88, 10, 2021-09-15]
[89, 11, 2021-09-15]
[90, 12, 2021-09-15]
[91, 13, 2021-09-15]
[92, 14, 2021-09-15]
[93, 15, 2021-09-15]
[94, 16, 2021-09-15]
[95, 17, 2021-09-15]
[96, 18, 2021-09-15]
[97, 19, 2021-09-15]
[98, 20, 2021-09-15]
[99, 21, 2021-09-15]
[100, 22, 2021-09-15]
[101, 23, 2021-09-15]
[102, 24, 2021-09-15]
[103, 25, 2021-09-15]
[104, 26, 2021-09-15]
[105, 1, 2021-09-16]
[106, 2, 2021-09-16]
[107, 3, 2021-09-16]
[108, 4, 2021-09-16]
[109, 5, 2021-09-16]
[110, 6, 2021-09-16]
[111, 7, 2021-09-16]
[112, 8, 2021-09-16]
[113, 9, 2021-09-16]
[114, 10, 2021-09-16]
[115, 11, 2021-09-16]
[116, 12, 2021-09-16]
[117, 13, 2021-09-16]
[118, 14, 2021-09-16]
[119, 15, 2021-09-16]
[120, 16, 2021-09-16]
[121, 17, 2021-09-16]
[122, 18, 2021-09-16]
[123, 19, 2021-09-16]
[124, 20, 2021-09-16]
[125, 21, 2021-09-16]
[126, 22, 2021-09-16]
[127, 23, 2021-09-16]
[128, 24, 2021-09-16]
[129, 25, 2021-09-16]
[130, 26, 2021-09-16]
[131, 1, 2021-09-17]
[132, 2, 2021-09-17]
[133, 3, 2021-09-17]
[134, 4, 2021-09-17]
