[27, 27,  to_date('9:03', 'hh24:mi'),  to_date('17:55', 'hh24:mi')]
[28, 28,  to_date('10:59', 'hh24:mi'),  to_date('12:22', 'hh24:mi')]
[29, 29,  to_date('10:57', 'hh24:mi'),  to_date('11:47', 'hh24:mi')]
[30, 29,  to_date('12:36', 'hh24:mi'),  to_date('17:50', 'hh24:mi')]
[31, 30,  to_date('9:08', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[32, 31,  to_date('9:02', 'hh24:mi'),  to_date('17:53', 'hh24:mi')]
[33, 32,  to_date('9:58', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[34, 33,  to_date('9:01', 'hh24:mi'),  to_date('17:54', 'hh24:mi')]
[35, 34,  to_date('9:07', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[36, 35,  to_date('9:01', 'hh24:mi'),  to_date('17:52', 'hh24:mi')]
[37, 36,  to_date('9:01', 'hh24:mi'),  to_date('17:54', 'hh24:mi')]
[38, 37,  to_date('9:02', 'hh24:mi'),  to_date('17:50', 'hh24:mi')]
[39, 38,  to_date('9:09', 'hh24:mi'),  to_date('17:57', 'hh24:mi')]
[40, 39,  to_date('9:02', 'hh24:mi'),  to_date('17:55', 'hh24:mi')]
[41, 40,  to_date('9:00', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[42, 41,  to_date('9:09', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[43, 42,  to_date('9:04', 'hh24:mi'),  to_date('17:50', 'hh24:mi')]
[44, 43,  to_date('9:08', 'hh24:mi'),  to_date('17:52', 'hh24:mi')]
[45, 44,  to_date('9:09', 'hh24:mi'),  to_date('17:53', 'hh24:mi')]
[46, 45,  to_date('9:10', 'hh24:mi'),  to_date('17:53', 'hh24:mi')]
[47, 46,  to_date('10:13', 'hh24:mi'),  to_date('17:59', 'hh24:mi')]
[48, 47,  to_date('9:02', 'hh24:mi'),  to_date('17:53', 'hh24:mi')]
[49, 48,  to_date('9:07', 'hh24:mi'),  to_date('17:54', 'hh24:mi')]
[50, 49,  to_date('9:02', 'hh24:mi'),  to_date('17:57', 'hh24:mi')]
[51, 50,  to_date('9:08', 'hh24:mi'),  to_date('17:53', 'hh24:mi')]
[52, 51,  to_date('9:04', 'hh24:mi'),  to_date('17:52', 'hh24:mi')]
[53, 52,  to_date('9:02', 'hh24:mi'),  to_date('17:53', 'hh24:mi')]
[54, 53,  to_date('9:33', 'hh24:mi'),  to_date('17:52', 'hh24:mi')]
[55, 54,  to_date('9:02', 'hh24:mi'),  to_date('17:53', 'hh24:mi')]
[56, 55,  to_date('9:07', 'hh24:mi'),  to_date('17:52', 'hh24:mi')]
[57, 56,  to_date('9:44', 'hh24:mi'),  to_date('15:21', 'hh24:mi')]
[58, 56,  to_date('16:54', 'hh24:mi'),  to_date('17:55', 'hh24:mi')]
[59, 57,  to_date('9:08', 'hh24:mi'),  to_date('17:54', 'hh24:mi')]
[60, 58,  to_date('9:02', 'hh24:mi'),  to_date('17:57', 'hh24:mi')]
[61, 59,  to_date('9:01', 'hh24:mi'),  to_date('17:50', 'hh24:mi')]
[62, 60,  to_date('9:04', 'hh24:mi'),  to_date('17:54', 'hh24:mi')]
[63, 61,  to_date('9:24', 'hh24:mi'),  to_date('17:53', 'hh24:mi')]
[64, 62,  to_date('9:04', 'hh24:mi'),  to_date('17:53', 'hh24:mi')]
[65, 63,  to_date('9:03', 'hh24:mi'),  to_date('17:59', 'hh24:mi')]
[66, 64,  to_date('9:10', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[67, 65,  to_date('9:02', 'hh24:mi'),  to_date('17:54', 'hh24:mi')]
[68, 66,  to_date('10:25', 'hh24:mi'),  to_date('14:39', 'hh24:mi')]
[69, 66,  to_date('15:31', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[70, 67,  to_date('9:00', 'hh24:mi'),  to_date('17:55', 'hh24:mi')]
[71, 68,  to_date('10:48', 'hh24:mi'),  to_date('14:26', 'hh24:mi')]
[72, 68,  to_date('15:43', 'hh24:mi'),  to_date('17:58', 'hh24:mi')]
[73, 69,  to_date('9:03', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[74, 70,  to_date('9:36', 'hh24:mi'),  to_date('17:59', 'hh24:mi')]
[75, 71,  to_date('9:08', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[76, 72,  to_date('9:01', 'hh24:mi'),  to_date('17:51', 'hh24:mi')]
[77, 73,  to_date('9:00', 'hh24:mi'),  to_date('17:52', 'hh24:mi')]
[78, 74,  to_date('9:01', 'hh24:mi'),  to_date('17:50', 'hh24:mi')]
[79, 75,  to_date('9:01', 'hh24:mi'),  to_date('17:51', 'hh24:mi')]
[80, 76,  to_date('9:05', 'hh24:mi'),  to_date('17:50', 'hh24:mi')]
[81, 77,  to_date('9:02', 'hh24:mi'),  to_date('17:57', 'hh24:mi')]
[82, 78,  to_date('9:08', 'hh24:mi'),  to_date('17:58', 'hh24:mi')]
[83, 79,  to_date('9:09', 'hh24:mi'),  to_date('17:55', 'hh24:mi')]
[84, 80,  to_date('9:01', 'hh24:mi'),  to_date('17:52', 'hh24:mi')]
[85, 81,  to_date('9:05', 'hh24:mi'),  to_date('17:55', 'hh24:mi')]
[86, 82,  to_date('9:10', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[87, 83,  to_date('9:01', 'hh24:mi'),  to_date('17:58', 'hh24:mi')]
[88, 84,  to_date('10:19', 'hh24:mi'),  to_date('17:59', 'hh24:mi')]
[89, 85,  to_date('9:09', 'hh24:mi'),  to_date('17:51', 'hh24:mi')]
[90, 86,  to_date('9:09', 'hh24:mi'),  to_date('17:55', 'hh24:mi')]
[91, 87,  to_date('9:10', 'hh24:mi'),  to_date('17:50', 'hh24:mi')]
[92, 88,  to_date('9:08', 'hh24:mi'),  to_date('17:58', 'hh24:mi')]
[93, 89,  to_date('9:06', 'hh24:mi'),  to_date('17:50', 'hh24:mi')]
[94, 90,  to_date('10:21', 'hh24:mi'),  to_date('12:51', 'hh24:mi')]
[95, 90,  to_date('13:53', 'hh24:mi'),  to_date('17:58', 'hh24:mi')]
[96, 91,  to_date('9:02', 'hh24:mi'),  to_date('17:53', 'hh24:mi')]
[97, 92,  to_date('9:01', 'hh24:mi'),  to_date('17:51', 'hh24:mi')]
[98, 93,  to_date('9:10', 'hh24:mi'),  to_date('17:54', 'hh24:mi')]
[99, 94,  to_date('9:00', 'hh24:mi'),  to_date('17:55', 'hh24:mi')]
[100, 95,  to_date('9:10', 'hh24:mi'),  to_date('17:59', 'hh24:mi')]
[101, 96,  to_date('9:05', 'hh24:mi'),  to_date('17:59', 'hh24:mi')]
[102, 97,  to_date('9:04', 'hh24:mi'),  to_date('17:55', 'hh24:mi')]
[103, 98,  to_date('9:09', 'hh24:mi'),  to_date('17:57', 'hh24:mi')]
[104, 99,  to_date('9:01', 'hh24:mi'),  to_date('17:51', 'hh24:mi')]
[105, 100,  to_date('9:10', 'hh24:mi'),  to_date('17:54', 'hh24:mi')]
[106, 101,  to_date('10:44', 'hh24:mi'),  to_date('17:56', 'hh24:mi')]
[107, 102,  to_date('9:05', 'hh24:mi'),  to_date('17:52', 'hh24:mi')]
[108, 103,  to_date('9:02', 'hh24:mi'),  to_date('17:52', 'hh24:mi')]
[109, 104,  to_date('9:04', 'hh24:mi'),  to_date('17:51', 'hh24:mi')]
[110, 105,  to_date('9:03', 'hh24:mi'),  to_date('17:58', 'hh24:mi')]
[111, 106,  to_date('9:00', 'hh24:mi'),  to_date('17:51', 'hh24:mi')]
[112, 107,  to_date('9:03', 'hh24:mi'),  to_date('17:58', 'hh24:mi')]
[113, 108,  to_date('9:26', 'hh24:mi'),  to_date('17:59', 'hh24:mi')]
[114, 109,  to_date('9:05', 'hh24:mi'),  to_date('17:54', 'hh24:mi')]
[115, 110,  to_date('9:02', 'hh24:mi'),  to_date('17:54', 'hh24:mi')]
[116, 111,  to_date('9:04', 'hh24:mi'),  to_date('17:55', 'hh24:mi')]
